instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_weekend,casual_sum,registered_sum,cnt_sum
5379,,3,0,8,0,0,3,1,1,0.66,0.6212,0.69,0.0896,8,16,24,Non-Weekend,620017,2672662,3292679
5380,,3,0,8,1,0,3,1,1,0.64,0.6061,0.73,0.1642,2,12,14,Non-Weekend,620017,2672662,3292679
5381,,3,0,8,2,0,3,1,1,0.66,0.6212,0.69,0.0,0,6,6,Non-Weekend,620017,2672662,3292679
5382,,3,0,8,3,0,3,1,1,0.64,0.5909,0.78,0.0,1,4,5,Non-Weekend,620017,2672662,3292679
5383,,3,0,8,4,0,3,1,1,0.64,0.6061,0.73,0.0,0,5,5,Non-Weekend,620017,2672662,3292679
5384,,3,0,8,5,0,3,1,1,0.64,0.6061,0.73,0.0,0,28,28,Non-Weekend,620017,2672662,3292679
5385,,3,0,8,6,0,3,1,1,0.62,0.5909,0.78,0.0,4,101,105,Non-Weekend,620017,2672662,3292679
5386,,3,0,8,7,0,3,1,1,0.66,0.6212,0.65,0.0896,12,296,308,Non-Weekend,620017,2672662,3292679
5387,,3,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642,35,452,487,Non-Weekend,620017,2672662,3292679
5388,,3,0,8,9,0,3,1,1,0.74,0.6667,0.48,0.0896,31,178,209,Non-Weekend,620017,2672662,3292679
5389,,3,0,8,10,0,3,1,1,0.76,0.6818,0.43,0.0896,27,91,118,Non-Weekend,620017,2672662,3292679
5390,,3,0,8,11,0,3,1,1,0.78,0.697,0.43,0.1045,20,108,128,Non-Weekend,620017,2672662,3292679
5391,,3,0,8,12,0,3,1,1,0.8,0.7273,0.43,0.2836,26,163,189,Non-Weekend,620017,2672662,3292679
5392,,3,0,8,13,0,3,1,1,0.8,0.7121,0.41,0.194,38,138,176,Non-Weekend,620017,2672662,3292679
5393,,3,0,8,14,0,3,1,1,0.82,0.7273,0.36,0.1642,54,138,192,Non-Weekend,620017,2672662,3292679
5394,,3,0,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,42,117,159,Non-Weekend,620017,2672662,3292679
5395,,3,0,8,16,0,3,1,1,0.82,0.7424,0.43,0.2239,62,238,300,Non-Weekend,620017,2672662,3292679
5396,,3,0,8,17,0,3,1,1,0.8,0.7424,0.49,0.2239,46,506,552,Non-Weekend,620017,2672662,3292679
5397,,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,86,470,556,Non-Weekend,620017,2672662,3292679
5398,,3,0,8,19,0,3,1,1,0.76,0.697,0.55,0.2239,50,297,347,Non-Weekend,620017,2672662,3292679
5399,,3,0,8,20,0,3,1,1,0.74,0.6818,0.58,0.2537,37,243,280,Non-Weekend,620017,2672662,3292679
5400,,3,0,8,21,0,3,1,1,0.72,0.6818,0.62,0.2239,38,192,230,Non-Weekend,620017,2672662,3292679
5401,,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.194,29,142,171,Non-Weekend,620017,2672662,3292679
5402,,3,0,8,23,0,3,1,1,0.7,0.6515,0.65,0.2836,20,85,105,Non-Weekend,620017,2672662,3292679
5403,,3,0,8,0,0,4,1,1,0.68,0.6364,0.65,0.1343,18,38,56,Non-Weekend,620017,2672662,3292679
5404,,3,0,8,1,0,4,1,2,0.66,0.6212,0.65,0.1642,13,11,24,Non-Weekend,620017,2672662,3292679
5405,,3,0,8,2,0,4,1,1,0.66,0.6212,0.65,0.2239,2,4,6,Non-Weekend,620017,2672662,3292679
5406,,3,0,8,3,0,4,1,1,0.66,0.6212,0.69,0.2836,0,6,6,Non-Weekend,620017,2672662,3292679
5407,,3,0,8,4,0,4,1,1,0.64,0.6061,0.73,0.2239,0,9,9,Non-Weekend,620017,2672662,3292679
5408,,3,0,8,5,0,4,1,1,0.64,0.5909,0.78,0.2836,0,27,27,Non-Weekend,620017,2672662,3292679
5409,,3,0,8,6,0,4,1,2,0.64,0.5909,0.78,0.2537,6,97,103,Non-Weekend,620017,2672662,3292679
5410,,3,0,8,7,0,4,1,1,0.64,0.5909,0.78,0.2985,19,289,308,Non-Weekend,620017,2672662,3292679
5411,,3,0,8,8,0,4,1,1,0.66,0.6212,0.74,0.2836,27,393,420,Non-Weekend,620017,2672662,3292679
5412,,3,0,8,9,0,4,1,1,0.72,0.6818,0.66,0.2537,42,186,228,Non-Weekend,620017,2672662,3292679
5413,,3,0,8,10,0,4,1,1,0.74,0.697,0.66,0.2537,37,92,129,Non-Weekend,620017,2672662,3292679
5414,,3,0,8,11,0,4,1,1,0.76,0.7121,0.58,0.2537,44,97,141,Non-Weekend,620017,2672662,3292679
5415,,3,0,8,12,0,4,1,1,0.8,0.7424,0.52,0.2836,34,139,173,Non-Weekend,620017,2672662,3292679
5416,,3,0,8,13,0,4,1,1,0.8,0.7424,0.52,0.3582,33,154,187,Non-Weekend,620017,2672662,3292679
5417,,3,0,8,14,0,4,1,1,0.82,0.7576,0.46,0.3284,67,115,182,Non-Weekend,620017,2672662,3292679
5418,,3,0,8,15,0,4,1,1,0.8,0.7273,0.46,0.3582,56,118,174,Non-Weekend,620017,2672662,3292679
5419,,3,0,8,16,0,4,1,1,0.8,0.7273,0.46,0.3582,49,196,245,Non-Weekend,620017,2672662,3292679
5420,,3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409,Non-Weekend,620017,2672662,3292679
5421,,3,0,8,18,0,4,1,3,0.76,0.697,0.55,0.2537,48,226,274,Non-Weekend,620017,2672662,3292679
5422,,3,0,8,19,0,4,1,1,0.66,0.6061,0.83,0.1045,26,115,141,Non-Weekend,620017,2672662,3292679
5423,,3,0,8,20,0,4,1,1,0.66,0.6061,0.83,0.1045,24,141,165,Non-Weekend,620017,2672662,3292679
5424,,3,0,8,21,0,4,1,2,0.68,0.6364,0.79,0.0,12,137,149,Non-Weekend,620017,2672662,3292679
5425,,3,0,8,22,0,4,1,2,0.7,0.6667,0.74,0.1045,18,117,135,Non-Weekend,620017,2672662,3292679
5426,,3,0,8,23,0,4,1,2,0.7,0.6667,0.74,0.1343,20,94,114,Non-Weekend,620017,2672662,3292679
5427,,3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,9,53,62,Weekend,620017,2672662,3292679
5428,,3,0,8,1,0,5,1,3,0.64,0.5758,0.89,0.0,1,19,20,Weekend,620017,2672662,3292679
5429,,3,0,8,2,0,5,1,3,0.64,0.5758,0.83,0.0,0,8,8,Weekend,620017,2672662,3292679
5430,,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0,2,1,3,Weekend,620017,2672662,3292679
5431,,3,0,8,4,0,5,1,1,0.64,0.5758,0.83,0.0,1,7,8,Weekend,620017,2672662,3292679
5432,,3,0,8,5,0,5,1,1,0.64,0.5758,0.83,0.0,1,16,17,Weekend,620017,2672662,3292679
5433,,3,0,8,6,0,5,1,1,0.64,0.5758,0.83,0.0,2,91,93,Weekend,620017,2672662,3292679
5434,,3,0,8,7,0,5,1,2,0.66,0.6061,0.83,0.0896,12,251,263,Weekend,620017,2672662,3292679
5435,,3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0.0,30,368,398,Weekend,620017,2672662,3292679
5436,,3,0,8,9,0,5,1,1,0.7,0.6515,0.65,0.1343,31,187,218,Weekend,620017,2672662,3292679
5437,,3,0,8,10,0,5,1,1,0.72,0.6818,0.62,0.0896,57,108,165,Weekend,620017,2672662,3292679
5438,,3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,45,120,165,Weekend,620017,2672662,3292679
5439,,3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,54,168,222,Weekend,620017,2672662,3292679
5440,,3,0,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,63,169,232,Weekend,620017,2672662,3292679
5441,,3,0,8,14,0,5,1,1,0.78,0.7273,0.55,0.194,78,142,220,Weekend,620017,2672662,3292679
5442,,3,0,8,15,0,5,1,1,0.8,0.7424,0.49,0.1045,66,156,222,Weekend,620017,2672662,3292679
5443,,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0.0,66,261,327,Weekend,620017,2672662,3292679
5444,,3,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,85,442,527,Weekend,620017,2672662,3292679
5445,,3,0,8,18,0,5,1,1,0.76,0.7121,0.58,0.5224,88,337,425,Weekend,620017,2672662,3292679
5446,,3,0,8,19,0,5,1,3,0.62,0.5909,0.73,0.4627,33,132,165,Weekend,620017,2672662,3292679
5447,,3,0,8,20,0,5,1,3,0.62,0.5758,0.83,0.2985,12,46,58,Weekend,620017,2672662,3292679
5448,,3,0,8,21,0,5,1,1,0.62,0.5758,0.83,0.1343,18,89,107,Weekend,620017,2672662,3292679
5449,,3,0,8,22,0,5,1,1,0.6,0.5455,0.88,0.1343,25,97,122,Weekend,620017,2672662,3292679
5450,,3,0,8,23,0,5,1,2,0.6,0.5455,0.88,0.0896,18,88,106,Weekend,620017,2672662,3292679
5451,,3,0,8,0,0,6,0,1,0.6,0.5455,0.88,0.0,21,107,128,Weekend,620017,2672662,3292679
5452,,3,0,8,1,0,6,0,1,0.62,0.5758,0.83,0.0,12,35,47,Weekend,620017,2672662,3292679
5453,,3,0,8,2,0,6,0,1,0.62,0.5909,0.78,0.0,10,59,69,Weekend,620017,2672662,3292679
5454,,3,0,8,3,0,6,0,1,0.62,0.5909,0.78,0.0,9,42,51,Weekend,620017,2672662,3292679
5455,,3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0.0,1,6,7,Weekend,620017,2672662,3292679
5456,,3,0,8,5,0,6,0,1,0.6,0.5606,0.83,0.0,0,8,8,Weekend,620017,2672662,3292679
5457,,3,0,8,6,0,6,0,2,0.6,0.5606,0.83,0.1343,6,18,24,Weekend,620017,2672662,3292679
5458,,3,0,8,7,0,6,0,1,0.62,0.5758,0.83,0.0,8,36,44,Weekend,620017,2672662,3292679
5459,,3,0,8,8,0,6,0,1,0.66,0.6212,0.69,0.0,27,106,133,Weekend,620017,2672662,3292679
5460,,3,0,8,9,0,6,0,1,0.7,0.6515,0.65,0.0,51,139,190,Weekend,620017,2672662,3292679
5461,,3,0,8,10,0,6,0,1,0.72,0.6818,0.62,0.1045,114,192,306,Weekend,620017,2672662,3292679
5462,,3,0,8,11,0,6,0,1,0.72,0.6667,0.58,0.0,115,223,338,Weekend,620017,2672662,3292679
5463,,3,0,8,12,0,6,0,1,0.74,0.6818,0.58,0.1343,156,253,409,Weekend,620017,2672662,3292679
5464,,3,0,8,13,0,6,0,1,0.76,0.697,0.55,0.1343,158,220,378,Weekend,620017,2672662,3292679
5465,,3,0,8,14,0,6,0,1,0.8,0.7424,0.49,0.194,147,228,375,Weekend,620017,2672662,3292679
5466,,3,0,8,15,0,6,0,1,0.8,0.7273,0.43,0.194,175,215,390,Weekend,620017,2672662,3292679
5467,,3,0,8,16,0,6,0,1,0.8,0.7273,0.46,0.194,151,222,373,Weekend,620017,2672662,3292679
5468,,3,0,8,17,0,6,0,1,0.8,0.7424,0.49,0.194,180,203,383,Weekend,620017,2672662,3292679
5469,,3,0,8,18,0,6,0,1,0.76,0.7121,0.58,0.2537,169,225,394,Weekend,620017,2672662,3292679
5470,,3,0,8,19,0,6,0,1,0.74,0.6818,0.62,0.194,109,182,291,Weekend,620017,2672662,3292679
5471,,3,0,8,20,0,6,0,1,0.74,0.6818,0.62,0.2239,78,170,248,Weekend,620017,2672662,3292679
5472,,3,0,8,21,0,6,0,1,0.72,0.6818,0.7,0.2239,81,144,225,Weekend,620017,2672662,3292679
5473,,3,0,8,22,0,6,0,2,0.7,0.6667,0.74,0.194,77,146,223,Weekend,620017,2672662,3292679
5474,,3,0,8,23,0,6,0,1,0.7,0.6667,0.74,0.1343,59,98,157,Weekend,620017,2672662,3292679
5475,,3,0,8,0,0,0,0,1,0.7,0.6667,0.74,0.194,6,68,74,Non-Weekend,620017,2672662,3292679
5476,,3,0,8,1,0,0,0,1,0.68,0.6364,0.79,0.2239,17,69,86,Non-Weekend,620017,2672662,3292679
5477,,3,0,8,2,0,0,0,1,0.68,0.6364,0.79,0.194,13,51,64,Non-Weekend,620017,2672662,3292679
5478,,3,0,8,3,0,0,0,1,0.66,0.6061,0.83,0.2239,25,26,51,Non-Weekend,620017,2672662,3292679
5479,,3,0,8,4,0,0,0,1,0.68,0.6364,0.83,0.2239,1,5,6,Non-Weekend,620017,2672662,3292679
5480,,3,0,8,5,0,0,0,1,0.66,0.5909,0.89,0.2985,0,8,8,Non-Weekend,620017,2672662,3292679
5481,,3,0,8,6,0,0,0,1,0.66,0.5909,0.89,0.2836,4,10,14,Non-Weekend,620017,2672662,3292679
5482,,3,0,8,7,0,0,0,1,0.68,0.6364,0.83,0.2985,12,19,31,Non-Weekend,620017,2672662,3292679
5483,,3,0,8,8,0,0,0,1,0.7,0.6667,0.79,0.2239,30,62,92,Non-Weekend,620017,2672662,3292679
5484,,3,0,8,9,0,0,0,1,0.72,0.697,0.74,0.2239,80,151,231,Non-Weekend,620017,2672662,3292679
5485,,3,0,8,10,0,0,0,1,0.74,0.7121,0.74,0.2537,97,177,274,Non-Weekend,620017,2672662,3292679
5486,,3,0,8,11,0,0,0,1,0.8,0.7879,0.63,0.2836,132,181,313,Non-Weekend,620017,2672662,3292679
5487,,3,0,8,12,0,0,0,1,0.82,0.803,0.59,0.2836,135,239,374,Non-Weekend,620017,2672662,3292679
5488,,3,0,8,13,0,0,0,1,0.8,0.7727,0.59,0.4179,94,216,310,Non-Weekend,620017,2672662,3292679
5489,,3,0,8,14,0,0,0,3,0.7,0.6667,0.79,0.3881,78,157,235,Non-Weekend,620017,2672662,3292679
5490,,3,0,8,15,0,0,0,1,0.7,0.6667,0.84,0.2836,17,51,68,Non-Weekend,620017,2672662,3292679
5491,,3,0,8,16,0,0,0,1,0.72,0.697,0.79,0.1642,97,161,258,Non-Weekend,620017,2672662,3292679
5492,,3,0,8,17,0,0,0,1,0.72,0.697,0.79,0.1343,91,179,270,Non-Weekend,620017,2672662,3292679
5493,,3,0,8,18,0,0,0,1,0.72,0.697,0.79,0.2537,96,215,311,Non-Weekend,620017,2672662,3292679
5494,,3,0,8,19,0,0,0,1,0.72,0.6818,0.7,0.2537,81,201,282,Non-Weekend,620017,2672662,3292679
5495,,3,0,8,20,0,0,0,1,0.7,0.6667,0.79,0.2537,41,140,181,Non-Weekend,620017,2672662,3292679
5496,,3,0,8,21,0,0,0,1,0.7,0.6667,0.79,0.2537,45,93,138,Non-Weekend,620017,2672662,3292679
5497,,3,0,8,22,0,0,0,2,0.7,0.6667,0.79,0.194,37,97,134,Non-Weekend,620017,2672662,3292679
5498,,3,0,8,23,0,0,0,1,0.7,0.6667,0.74,0.1642,20,48,68,Non-Weekend,620017,2672662,3292679
5499,,3,0,8,0,0,1,1,1,0.68,0.6364,0.79,0.1642,18,22,40,Non-Weekend,620017,2672662,3292679
5500,,3,0,8,1,0,1,1,1,0.68,0.6364,0.79,0.0896,8,13,21,Non-Weekend,620017,2672662,3292679
5501,,3,0,8,2,0,1,1,2,0.7,0.6515,0.65,0.1045,2,6,8,Non-Weekend,620017,2672662,3292679
5502,,3,0,8,3,0,1,1,3,0.7,0.6515,0.65,0.1343,0,5,5,Non-Weekend,620017,2672662,3292679
5503,,3,0,8,4,0,1,1,1,0.68,0.6364,0.65,0.194,2,10,12,Non-Weekend,620017,2672662,3292679
5504,,3,0,8,5,0,1,1,1,0.66,0.6212,0.65,0.3582,1,23,24,Non-Weekend,620017,2672662,3292679
5505,,3,0,8,6,0,1,1,1,0.66,0.6212,0.61,0.2985,6,106,112,Non-Weekend,620017,2672662,3292679
5506,,3,0,8,7,0,1,1,1,0.66,0.6212,0.61,0.3284,11,270,281,Non-Weekend,620017,2672662,3292679
5507,,3,0,8,8,0,1,1,1,0.66,0.6212,0.61,0.3284,20,331,351,Non-Weekend,620017,2672662,3292679
5508,,3,0,8,9,0,1,1,1,0.68,0.6364,0.54,0.2537,36,151,187,Non-Weekend,620017,2672662,3292679
5509,,3,0,8,10,0,1,1,1,0.7,0.6515,0.48,0.2836,36,85,121,Non-Weekend,620017,2672662,3292679
5510,,3,0,8,11,0,1,1,1,0.72,0.6515,0.34,0.3284,46,85,131,Non-Weekend,620017,2672662,3292679
5511,,3,0,8,12,0,1,1,1,0.74,0.6515,0.35,0.3881,54,153,207,Non-Weekend,620017,2672662,3292679
5512,,3,0,8,13,0,1,1,1,0.74,0.6515,0.3,0.4627,47,158,205,Non-Weekend,620017,2672662,3292679
5513,,3,0,8,14,0,1,1,1,0.74,0.6515,0.3,0.3881,88,137,225,Non-Weekend,620017,2672662,3292679
5514,,3,0,8,15,0,1,1,1,0.74,0.6515,0.3,0.2985,72,127,199,Non-Weekend,620017,2672662,3292679
5515,,3,0,8,16,0,1,1,1,0.74,0.6515,0.3,0.3881,66,254,320,Non-Weekend,620017,2672662,3292679
5516,,3,0,8,17,0,1,1,1,0.74,0.6515,0.27,0.3284,82,509,591,Non-Weekend,620017,2672662,3292679
5517,,3,0,8,18,0,1,1,1,0.72,0.6515,0.28,0.2985,72,537,609,Non-Weekend,620017,2672662,3292679
5518,,3,0,8,19,0,1,1,1,0.7,0.6364,0.3,0.2836,66,350,416,Non-Weekend,620017,2672662,3292679
5519,,3,0,8,20,0,1,1,1,0.66,0.6212,0.34,0.194,21,247,268,Non-Weekend,620017,2672662,3292679
5520,,3,0,8,21,0,1,1,1,0.64,0.6212,0.38,0.194,28,180,208,Non-Weekend,620017,2672662,3292679
5521,,3,0,8,22,0,1,1,1,0.64,0.6212,0.38,0.2985,32,121,153,Non-Weekend,620017,2672662,3292679
5522,,3,0,8,23,0,1,1,1,0.62,0.6212,0.41,0.2537,19,45,64,Non-Weekend,620017,2672662,3292679
5523,,3,0,8,0,0,2,1,1,0.6,0.6212,0.43,0.194,13,22,35,Non-Weekend,620017,2672662,3292679
5524,,3,0,8,1,0,2,1,1,0.58,0.5455,0.49,0.194,6,13,19,Non-Weekend,620017,2672662,3292679
5525,,3,0,8,2,0,2,1,1,0.56,0.5303,0.52,0.194,2,4,6,Non-Weekend,620017,2672662,3292679
5526,,3,0,8,3,0,2,1,1,0.56,0.5303,0.52,0.2836,2,4,6,Non-Weekend,620017,2672662,3292679
5527,,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642,0,5,5,Non-Weekend,620017,2672662,3292679
5528,,3,0,8,5,0,2,1,1,0.54,0.5152,0.56,0.194,1,35,36,Non-Weekend,620017,2672662,3292679
5529,,3,0,8,6,0,2,1,1,0.54,0.5152,0.6,0.194,3,111,114,Non-Weekend,620017,2672662,3292679
5530,,3,0,8,7,0,2,1,1,0.6,0.6212,0.49,0.194,11,333,344,Non-Weekend,620017,2672662,3292679
5531,,3,0,8,8,0,2,1,2,0.62,0.6212,0.5,0.0,43,461,504,Non-Weekend,620017,2672662,3292679
5532,,3,0,8,9,0,2,1,2,0.66,0.6212,0.44,0.0,34,191,225,Non-Weekend,620017,2672662,3292679
5533,,3,0,8,10,0,2,1,1,0.7,0.6364,0.37,0.0,56,92,148,Non-Weekend,620017,2672662,3292679
5534,,3,0,8,11,0,2,1,1,0.7,0.6364,0.34,0.1045,62,124,186,Non-Weekend,620017,2672662,3292679
5535,,3,0,8,12,0,2,1,1,0.7,0.6364,0.39,0.0896,60,177,237,Non-Weekend,620017,2672662,3292679
5536,,3,0,8,13,0,2,1,1,0.72,0.6515,0.3,0.1045,70,164,234,Non-Weekend,620017,2672662,3292679
5537,,3,0,8,14,0,2,1,1,0.72,0.6515,0.3,0.0896,149,502,651,Non-Weekend,620017,2672662,3292679
5538,,3,0,8,15,0,2,1,1,0.72,0.6515,0.34,0.2239,178,423,601,Non-Weekend,620017,2672662,3292679
5539,,3,0,8,16,0,2,1,1,0.72,0.6515,0.32,0.1343,133,311,444,Non-Weekend,620017,2672662,3292679
5540,,3,0,8,17,0,2,1,1,0.72,0.6515,0.34,0.2239,133,339,472,Non-Weekend,620017,2672662,3292679
5541,,3,0,8,18,0,2,1,1,0.72,0.6515,0.34,0.194,98,421,519,Non-Weekend,620017,2672662,3292679
5542,,3,0,8,19,0,2,1,1,0.66,0.6212,0.5,0.2239,70,297,367,Non-Weekend,620017,2672662,3292679
5543,,3,0,8,20,0,2,1,1,0.64,0.6212,0.53,0.2537,54,206,260,Non-Weekend,620017,2672662,3292679
5544,,3,0,8,21,0,2,1,1,0.62,0.6212,0.57,0.0,38,173,211,Non-Weekend,620017,2672662,3292679
5545,,3,0,8,22,0,2,1,1,0.62,0.6212,0.57,0.1343,46,145,191,Non-Weekend,620017,2672662,3292679
5546,,3,0,8,23,0,2,1,1,0.62,0.6061,0.61,0.1343,19,61,80,Non-Weekend,620017,2672662,3292679
5547,,3,0,8,0,0,3,1,1,0.62,0.6212,0.57,0.1343,9,29,38,Non-Weekend,620017,2672662,3292679
5548,,3,0,8,1,0,3,1,1,0.6,0.6061,0.6,0.1045,7,17,24,Non-Weekend,620017,2672662,3292679
5549,,3,0,8,2,0,3,1,1,0.58,0.5455,0.68,0.1343,2,4,6,Non-Weekend,620017,2672662,3292679
5550,,3,0,8,3,0,3,1,1,0.58,0.5455,0.68,0.1343,0,1,1,Non-Weekend,620017,2672662,3292679
5551,,3,0,8,4,0,3,1,1,0.56,0.5303,0.73,0.1045,0,7,7,Non-Weekend,620017,2672662,3292679
5552,,3,0,8,5,0,3,1,1,0.56,0.5303,0.73,0.1045,1,26,27,Non-Weekend,620017,2672662,3292679
5553,,3,0,8,6,0,3,1,1,0.56,0.5303,0.73,0.0,3,105,108,Non-Weekend,620017,2672662,3292679
5554,,3,0,8,7,0,3,1,1,0.6,0.6061,0.64,0.0896,11,297,308,Non-Weekend,620017,2672662,3292679
5555,,3,0,8,8,0,3,1,1,0.62,0.6061,0.69,0.1343,32,436,468,Non-Weekend,620017,2672662,3292679
5556,,3,0,8,9,0,3,1,1,0.64,0.6061,0.69,0.2537,44,169,213,Non-Weekend,620017,2672662,3292679
5557,,3,0,8,10,0,3,1,1,0.7,0.6515,0.58,0.2836,51,95,146,Non-Weekend,620017,2672662,3292679
5558,,3,0,8,11,0,3,1,1,0.72,0.6667,0.54,0.2985,57,128,185,Non-Weekend,620017,2672662,3292679
5559,,3,0,8,12,0,3,1,1,0.74,0.6818,0.55,0.3284,60,175,235,Non-Weekend,620017,2672662,3292679
5560,,3,0,8,13,0,3,1,1,0.76,0.6818,0.48,0.4179,56,180,236,Non-Weekend,620017,2672662,3292679
5561,,3,0,8,14,0,3,1,1,0.76,0.6818,0.48,0.4179,77,127,204,Non-Weekend,620017,2672662,3292679
5562,,3,0,8,15,0,3,1,1,0.76,0.6818,0.48,0.4478,63,141,204,Non-Weekend,620017,2672662,3292679
5563,,3,0,8,16,0,3,1,1,0.76,0.697,0.52,0.4179,49,222,271,Non-Weekend,620017,2672662,3292679
5564,,3,0,8,17,0,3,1,1,0.76,0.697,0.52,0.3582,83,484,567,Non-Weekend,620017,2672662,3292679
5565,,3,0,8,18,0,3,1,1,0.74,0.6818,0.55,0.2985,102,519,621,Non-Weekend,620017,2672662,3292679
5566,,3,0,8,19,0,3,1,1,0.74,0.6818,0.55,0.2985,93,347,440,Non-Weekend,620017,2672662,3292679
5567,,3,0,8,20,0,3,1,1,0.72,0.6667,0.58,0.2985,45,289,334,Non-Weekend,620017,2672662,3292679
5568,,3,0,8,21,0,3,1,1,0.7,0.6515,0.61,0.3582,47,189,236,Non-Weekend,620017,2672662,3292679
5569,,3,0,8,22,0,3,1,1,0.7,0.6515,0.65,0.3582,41,140,181,Non-Weekend,620017,2672662,3292679
5570,,3,0,8,23,0,3,1,1,0.68,0.6364,0.69,0.2985,16,54,70,Non-Weekend,620017,2672662,3292679
5571,,3,0,8,0,0,4,1,1,0.68,0.6364,0.74,0.2985,11,41,52,Non-Weekend,620017,2672662,3292679
5572,,3,0,8,1,0,4,1,1,0.68,0.6364,0.69,0.3881,4,11,15,Non-Weekend,620017,2672662,3292679
5573,,3,0,8,2,0,4,1,1,0.68,0.6364,0.69,0.3881,3,2,5,Non-Weekend,620017,2672662,3292679
5574,,3,0,8,3,0,4,1,1,0.66,0.6212,0.74,0.3284,2,2,4,Non-Weekend,620017,2672662,3292679
5575,,3,0,8,4,0,4,1,1,0.66,0.6061,0.78,0.3881,1,6,7,Non-Weekend,620017,2672662,3292679
5576,,3,0,8,5,0,4,1,1,0.66,0.6061,0.83,0.4179,1,25,26,Non-Weekend,620017,2672662,3292679
5577,,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284,1,101,102,Non-Weekend,620017,2672662,3292679
5578,,3,0,8,7,0,4,1,2,0.68,0.6364,0.79,0.3284,17,296,313,Non-Weekend,620017,2672662,3292679
5579,,3,0,8,8,0,4,1,2,0.7,0.6667,0.74,0.2985,23,461,484,Non-Weekend,620017,2672662,3292679
5580,,3,0,8,9,0,4,1,2,0.72,0.6818,0.7,0.2985,21,141,162,Non-Weekend,620017,2672662,3292679
5581,,3,0,8,10,0,4,1,2,0.74,0.697,0.66,0.2985,37,105,142,Non-Weekend,620017,2672662,3292679
5582,,3,0,8,11,0,4,1,3,0.7,0.6667,0.79,0.0,39,112,151,Non-Weekend,620017,2672662,3292679
5583,,3,0,8,12,0,4,1,3,0.7,0.6667,0.79,0.0,9,32,41,Non-Weekend,620017,2672662,3292679
5584,,3,0,8,13,0,4,1,1,0.7,0.6667,0.79,0.1045,7,30,37,Non-Weekend,620017,2672662,3292679
5585,,3,0,8,14,0,4,1,2,0.72,0.697,0.74,0.0,27,86,113,Non-Weekend,620017,2672662,3292679
5586,,3,0,8,15,0,4,1,2,0.74,0.697,0.7,0.0,28,104,132,Non-Weekend,620017,2672662,3292679
5587,,3,0,8,16,0,4,1,1,0.72,0.7121,0.84,0.0,16,105,121,Non-Weekend,620017,2672662,3292679
5588,,3,0,8,17,0,4,1,1,0.72,0.7121,0.84,0.0,28,284,312,Non-Weekend,620017,2672662,3292679
5589,,3,0,8,18,0,4,1,2,0.72,0.7121,0.84,0.1343,31,377,408,Non-Weekend,620017,2672662,3292679
5590,,3,0,8,19,0,4,1,2,0.66,0.6061,0.78,0.3284,31,241,272,Non-Weekend,620017,2672662,3292679
5591,,3,0,8,20,0,4,1,1,0.64,0.5909,0.78,0.3582,33,192,225,Non-Weekend,620017,2672662,3292679
5592,,3,0,8,21,0,4,1,1,0.64,0.5909,0.78,0.2836,29,158,187,Non-Weekend,620017,2672662,3292679
5593,,3,0,8,22,0,4,1,1,0.62,0.5758,0.83,0.0,21,126,147,Non-Weekend,620017,2672662,3292679
5594,,3,0,8,23,0,4,1,1,0.62,0.5758,0.83,0.0896,15,69,84,Non-Weekend,620017,2672662,3292679
5595,,3,0,8,0,0,5,1,1,0.62,0.5758,0.83,0.1343,9,42,51,Weekend,620017,2672662,3292679
5596,,3,0,8,1,0,5,1,1,0.62,0.5758,0.83,0.0,10,13,23,Weekend,620017,2672662,3292679
5597,,3,0,8,2,0,5,1,1,0.62,0.5606,0.88,0.1343,4,16,20,Weekend,620017,2672662,3292679
5598,,3,0,8,3,0,5,1,1,0.6,0.5455,0.88,0.1045,3,8,11,Weekend,620017,2672662,3292679
5599,,3,0,8,4,0,5,1,1,0.62,0.5606,0.88,0.0,2,6,8,Weekend,620017,2672662,3292679
5600,,3,0,8,5,0,5,1,2,0.62,0.5606,0.88,0.0,3,23,26,Weekend,620017,2672662,3292679
5601,,3,0,8,6,0,5,1,1,0.62,0.5606,0.88,0.0,5,100,105,Weekend,620017,2672662,3292679
5602,,3,0,8,7,0,5,1,1,0.64,0.5758,0.83,0.0,3,263,266,Weekend,620017,2672662,3292679
